gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.784	0.8082	0.5752	0.6866
KIF1B	0.5438	0.921	0.4396	0.6276
GNB1	0.3988	0.6006	0.442	0.6312
UBE4B	0.684	0.1304	0.488	0.0742
ACAP3	0.8822	0.8476	0.6728	0.6684
RERE	0.0797	0.0944	0.0514	0.0611
CLSTN1	0.4332	0.2116	0.2746	0.0877
CAMTA1	0.434	0.8704	0.4126	0.7714
KAZN	0.3188	0.151	0.1056	0.0391
EIF4G3	0.1342	0.2232	0.0752	0.1206
IGSF21	0.1742	0.271	0.2076	0.299
STMN1	0.179	0.121	0.1318	0.0765
HP1BP3	0.437	0.4772	0.1642	0.2808
PHACTR4	0.479	0.5984	0.1866	0.48
SCMH1	0.3344	0.1498	0.0623	0.0279
SFPQ	0.5494	0.3746	0.1884	0.1216
RLF	0.0813	0.0612	0.0852	0.0631
CSMD2	0.46	0.3894	0.1452	0.0971
AGO3	0.1818	0.1718	0.1404	0.1366
HIVEP3	0.2144	0.0615	0.0291	0.0159
MACF1	0.5942	0.4914	0.4588	0.3472
NASP	0.9398	0.9468	0.936	0.9408
PUM1	0.1098	0.2294	0.0427	0.2064
KIAA0319L	0.729	0.927	0.6722	0.9082
ZMYM4	0.3636	0.3206	0.1622	0.128
ZSWIM5	0.0952	0.0683	0.0294	0.0219
SDC3	0.99	0.9358	0.9748	0.8946
MARCKSL1	0.5512	0.294	0.2076	0.0884
FOXJ3	0.486	0.8052	0.4868	0.6928
LRRC7	0.267	0.2214	0.2014	0.1846
NRDC	0.0966	0.1596	0.0428	0.0939
DNAJC6	0.8714	0.7286	0.6872	0.5556
SRSF11	0.83	0.7014	0.5672	0.4934
SGIP1	0.2826	0.2748	0.2064	0.1976
SPATA6	0.3422	0.2996	0.3254	0.2608
PATJ	0.6822	0.5274	0.449	0.3074
TUT4	0.2414	0.1544	0.0805	0.0564
ZFYVE9	0.7304	0.6782	0.6928	0.6324
USP24	0.4954	0.4506	0.312	0.2786
PLPP3	0.2826	0.4094	0.1836	0.3946
NFIA	0.2854	0.4804	0.2544	0.4828
NEGR1	0.4774	0.4982	0.3518	0.3546
DAB1	0.0072	0.0045	0.0079	0.0055
PDE4B	0.2974	0.382	0.2002	0.2656
FAF1	0.0844	0.0566	0.0569	0.0317
AGBL4	0.1448	0.0099	0.0711	8e-04
_ENSG00000036549	0.2036	0.2332	0.0913	0.2574
COL11A1	0.7932	0.7998	0.5606	0.6164
PKN2	0.6248	0.5908	0.4926	0.5258
EVI5	0.1726	0.0269	0.0652	0.0194
USP33	0.2046	0.0698	0.0447	0.0113
PTBP2	0.3964	0.6916	0.3492	0.6982
PLPPR5	0.4766	0.9746	0.3802	0.9558
PLPPR4	0.857	0.7232	0.6704	0.5304
ZNF644	0.9972	0.9796	0.9774	0.965
RPAP2	0.358	0.368	0.157	0.1956
TTLL7	0.323	0.1288	0.0366	0.0183
