gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
DNAJC11	0.0725	0.0485	0.02	0.0194
VPS13D	0.0752	0.0659	0.026	0.018
PER3	0.5748	0.5292	0.5796	0.5432
KIF1B	0.9396	0.9608	0.9078	0.9296
PRKCZ	0.4042	0.423	0.1178	0.1608
KCNAB2	0.1596	0.1348	0.0596	0.0589
ENO1	0.717	0.627	0.7072	0.61
GNB1	0.947	0.9296	0.9392	0.9266
ACOT7	0.0778	0.124	0.0527	0.0731
CEP104	0.0972	0.0604	0.0451	0.0244
CHD5	0.8762	0.7366	0.6162	0.3686
PARK7	0.1434	0.187	0.0628	0.0875
MFN2	0.369	0.4602	0.281	0.3456
PRDM2	0.02	0.0238	0.0299	0.0325
INTS11	0.446	0.3426	0.0652	0.0831
UBE4B	0.0588	0.0263	0.0032	0.0011
ACAP3	0.6566	0.4758	0.1842	0.0624
C1orf159	0.308	0.5452	0.205	0.4708
FBXO44	0.7224	0.6438	0.628	0.5272
RERE	0.3702	0.3902	0.346	0.3564
PEX14	0.014	0.0328	0.0059	0.0247
PLCH2_ENSG00000149527	0.9412	0.813	0.842	0.4904
SKI	0.9796	0.9774	0.9604	0.9638
SSU72	0.8082	0.7728	0.7316	0.706
FAAP20	0.2668	0.1838	0.0561	0.0516
CLSTN1	0.3594	0.4558	0.2034	0.3004
CAMTA1	0.082	0.0742	0.0099	0.016
EXOSC10	0.2742	0.5244	0.1504	0.453
AURKAIP1	0.3948	0.1922	0.1294	0.0214
GABRD	0.7554	0.9368	0.534	0.8958
KAZN	0.1966	0.2254	0.1688	0.1938
AJAP1	0.4622	0.2712	0.4848	0.2992
MTOR	0.1984	0.3216	0.0243	0.1944
CCNL2	0.0807	0.0502	0.0059	0.004
_ENSG00000230021	0.5714	0.6098	0.1442	0.247
MRPL20	0.1628	0.2228	0.143	0.2022
CDK11B	0.0015	0.001	3e-04	3e-04
MTATP6P1	0.1438	0.1154	0.0375	0.0312
KDM1A	0.9982	0.5982	0.993	0.4312
FBXO42	0.207	0.1616	0.0715	0.0597
PITHD1	0.473	0.5206	0.2686	0.3192
