gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
DNAJC11	0.26434961134701	0.2406	0.5466	0.268	0.5274	0.0508	0.0432	0.0157	0.0148
VPS13D	0.577186807158897	0.5692	0.713	0.4498	0.6388	0.0405	0.0379	0.0179	0.0146
PER3	0.417381977180354	0.8238	0.948	0.8308	0.9452	0.4334	0.2552	0.468	0.3056
KIF1B	0.140306895852612	0.5374	0.571	0.5722	0.5936	0.748	0.591	0.648	0.4592
PRKCZ	0.090531797659935	0.142	0.1556	0.1432	0.126	0.4164	0.4876	0.1462	0.2592
KCNAB2	0.00919620941302079	0.0163	0.0156	0.0022	0.0036	0.6602	0.7282	0.628	0.7078
ENO1	0.67511867538571	0.3362	0.3114	0.3522	0.33	0.7536	0.818	0.7268	0.791
GNB1	0.109416916037522	0.7194	0.847	0.6842	0.8274	0.7328	0.7104	0.7062	0.6928
ACOT7	0.0256084949114178	0.2348	0.3918	0.29	0.4104	0.059	0.0809	0.0607	0.0721
CEP104	0.836868575988831	0.7572	0.5414	0.7004	0.4238	0.0395	0.0298	0.0212	0.0146
RPL22	0.680434528880789	0.7832	0.995	0.7816	0.9946	0.122	0.179	0.0369	0.0673
CHD5	0.671269122651781	0.8584	0.9888	0.7784	0.9904	0.8842	0.7262	0.6508	0.428
PARK7	0.0348708405577668	0.2314	0.3402	0.1394	0.2294	0.2562	0.4118	0.123	0.2558
SRM	0.827304398207688	0.7646	0.8632	0.7378	0.855	0.6254	0.8028	0.4786	0.7372
MFN2	0.097322281997629	0.1356	0.1458	0.1172	0.1256	0.5046	0.5838	0.4492	0.5076
PRDM2	0.713068316905956	0.3038	0.2372	0.2768	0.184	0.0484	0.106	0.0642	0.1306
UBE4B	0.392259320400086	0.0746	0.0788	0.0685	0.0623	0.0244	0.0169	0.0047	0.005
ACAP3	0.702030151251931	0.7694	0.5774	0.7056	0.4166	0.6732	0.4832	0.1958	0.0668
C1orf159	0.461732933684505	0.7074	0.947	0.7202	0.9456	0.2324	0.3692	0.0605	0.1804
FBXO44	0.282837138702347	0.8674	0.6196	0.858	0.6162	0.472	0.5708	0.3304	0.4416
RERE	0.831925762660884	0.7524	0.843	0.6768	0.7764	0.4774	0.534	0.4588	0.5326
EFHD2	0.0991138462679148	0.662	0.7526	0.5748	0.6766	0.4164	0.6848	0.1972	0.5752
PEX14	0.159154203691136	0.0765	0.0812	0.1022	0.0922	0.0075	0.0096	0.0035	0.0045
SKI	0.910447320341521	0.578	0.3914	0.4916	0.2796	0.5326	0.4842	0.269	0.3106
SSU72	0.202379672496004	0.7518	0.8122	0.7576	0.7964	0.7114	0.661	0.653	0.585
CLSTN1	0.0281924852812422	0.2074	0.1596	0.137	0.1006	0.2378	0.3032	0.1256	0.1736
PLEKHG5	0.207007600254172	0.189	0.1762	0.2426	0.2336	0.0051	0.0031	0.0079	0.0049
CAMTA1	0.418291304627781	0.4704	0.4308	0.3902	0.3242	0.1146	0.0919	0.0087	0.0093
EXOSC10	0.00919338463970271	0.0268	0.0297	0.0365	0.0354	0.0484	0.0367	0.0104	0.0105
GABRD	0.17517669169446	0.9912	0.6768	0.9876	0.5798	0.9476	0.805	0.9068	0.7356
KAZN	0.65481802191132	0.3354	0.1712	0.3196	0.1694	0.1446	0.1398	0.0904	0.0931
AJAP1	0.977585346981938	0.3288	0.479	0.34	0.5038	0.9824	0.8988	0.9826	0.8938
MTOR	0.870268267725127	0.2196	0.259	0.19	0.214	0.0714	0.114	0.0239	0.0544
DISP3	0.734292244569193	0.5452	0.5142	0.5666	0.5342	0.6288	0.94	0.4372	0.8874
CCNL2	0.587830888366532	0.3708	0.5882	0.3616	0.5488	0.2108	0.1102	0.0342	0.017
_ENSG00000230021	0.432065527144113	0.9482	0.9358	0.9188	0.8924	0.6676	0.768	0.3642	0.6092
MRPL20	0.341666875315131	0.7986	0.8916	0.8096	0.8762	0.3116	0.4984	0.3198	0.4886
MTATP6P1	0.317073144107255	0.6578	0.308	0.4916	0.1884	0.1504	0.1338	0.056	0.0624
KDM1A	0.571920034268822	0.3508	0.6548	0.1082	0.487	0.8056	0.3848	0.721	0.2422
FBXO42	0.52714481441698	0.2444	0.1722	0.2888	0.2018	0.1102	0.1418	0.0475	0.0775
PITHD1	0.0655392730708701	0.1576	0.1318	0.1504	0.1278	0.5482	0.7038	0.4598	0.631
SPEN	0.038214486295905	0.0801	0.0984	0.046	0.053	0.6216	0.6868	0.3182	0.5158
CDC42	0.561699418807931	0.2808	0.3478	0.2912	0.3608	0.3058	0.3118	0.2742	0.3062
EIF4G3	0.321401280892667	0.3028	0.3186	0.2782	0.2738	0.1078	0.1088	0.055	0.0478
RAP1GAP	0.435769131716272	0.593	0.4346	0.59	0.4228	0.4828	0.5396	0.1954	0.2636
CAPZB	0.239324392639731	0.6652	0.748	0.5952	0.7184	0.1322	0.262	0.0667	0.1688
CROCCP3	0.212988621560368	0.1926	0.2222	0.1706	0.232	0.0855	0.1118	0.0693	0.1124
NUDC	0.0366864564814316	0.1994	0.224	0.193	0.2082	0.1124	0.1542	0.0922	0.1258
USP48	0.83732301420027	0.6046	0.2984	0.6208	0.3218	0.0406	0.0663	0.0433	0.065
DNAJC16	0.651815766393684	0.656	0.6968	0.6792	0.7208	0.1866	0.2956	0.116	0.2392
SRSF4	0.656441620597092	0.6068	0.826	0.653	0.8432	0.0935	0.1094	0.1084	0.1282
PLEKHM2	0.224369757809002	0.0734	0.0371	0.0436	0.0209	0.0748	0.0441	0.0554	0.0327
SDHB	0.898470601663703	0.431	0.8572	0.4334	0.8634	0.0363	0.0366	0.0081	0.0115
ECE1	0.926991668014374	0.9774	0.9522	0.9782	0.955	0.0159	0.0155	0.0195	0.0226
RSRP1	0.0546360033782357	0.0271	0.0294	0.0271	0.0294	0.0024	0.0032	8e-04	8e-04
STMN1	0.189252173214869	0.4418	0.5042	0.4094	0.4462	0.6578	0.7656	0.6182	0.7224
MAN1C1	0.722132297061922	0.8232	0.8196	0.8046	0.797	0.0092	0.0168	0.007	0.0401
DHDDS	0.258160478199547	0.6426	0.525	0.6252	0.5022	0.077	0.0796	0.0387	0.0365
ARID1A	0.141540308136931	0.3662	0.2406	0.3726	0.2378	0.0928	0.0924	0.0465	0.0342
STX12	0.738063088117109	0.8846	0.7668	0.8854	0.7484	0.3484	0.7174	0.255	0.7786
HNRNPR	0.72120693040312	0.74	0.7024	0.736	0.6718	0.0303	0.0505	0.0169	0.0495
DNAJC8	0.270866329975586	0.8832	0.9096	0.8324	0.8684	0.9772	0.9728	0.9656	0.9598
AHDC1	0.302335294840497	0.75	0.5828	0.7378	0.5856	0.4736	0.5602	0.2034	0.3246
IFI6	0.705867720610435	0.6112	0.8072	0.604	0.8034	0.7556	0.6818	0.7048	0.6106
UBR4	0.811905289864348	0.6242	0.6566	0.6234	0.6486	0.0094	0.0102	0.003	0.0042
HP1BP3	0.785097700576388	0.5704	0.4694	0.498	0.393	0.196	0.224	0.033	0.0611
ATP5IF1	0.015092661858964	0.14	0.328	0.1682	0.3272	0.0179	0.0268	0.02	0.0333
EPHB2	0.564465439792441	0.3938	0.4868	0.443	0.5178	0.0311	0.0419	0.0239	0.0409
SRRM1	0.26438325080595	0.1026	0.0488	0.1252	0.0537	0.0365	0.054	0.0234	0.0415
RPL11	0.99996183862721	0.9984	0.9796	0.9964	0.9776	0.6254	0.596	0.5144	0.455
WDTC1	0.0178852234718166	0.0843	0.1672	0.0757	0.1862	0.6918	0.4926	0.5838	0.353
EYA3	0.287018144802344	0.4994	0.9744	0.4208	0.972	0.788	0.928	0.7374	0.7998
NBL1	0.823455954698944	0.668	0.8082	0.6078	0.7818	0.4928	0.8	0.3064	0.7182
PINK1	0.741418463752358	0.6282	0.7628	0.6452	0.7678	0.6764	0.8096	0.7108	0.8238
ATP13A2	0.0129464794560604	0.0973	0.1596	0.0316	0.1276	0.3222	0.3334	0.1208	0.1442
CAMK2N1	0.0343755042558078	0.2492	0.1822	0.1008	0.0761	0.1924	0.1894	0.0457	0.049
LUZP1	0.00794383361677863	0.0068	0.0117	0.0118	0.0198	0.0153	0.0299	0.0068	0.0238
TRNAU1AP	0.499883439316272	0.138	0.1736	0.0829	0.1068	0.1172	0.0866	0.0249	0.022
TMEM50A	0.63855080888603	0.3906	0.3528	0.3954	0.3562	0.8386	0.7098	0.837	0.7274
SRSF10	0.54459138835292	0.9854	0.9874	0.984	0.9908	0.1816	0.1502	0.0054	0.025
DDI2	0.250876918961538	0.0445	0.1004	0.0448	0.0855	0.491	0.6072	0.4174	0.519
HMGN2	0.0357358024432852	0.0475	0.044	0.0356	0.0389	0.979	0.9676	0.9814	0.9574
PHACTR4	0.934624787150969	0.7558	0.5858	0.7664	0.5894	0.1614	0.1272	0.0621	0.0524
MACO1	0.617871169346703	0.4606	0.598	0.4882	0.5888	0.4902	0.6048	0.4982	0.6198
NBPF1	0.770532797487533	0.849	0.993	0.8138	0.986	0.57	0.3336	0.612	0.3828
EMC1-AS1	0.48885989697554	0.1498	0.0721	0.104	0.0432	0.6574	0.7664	0.4824	0.6406
UQCRHL	0.0857163118194052	0.5344	0.5106	0.4256	0.4342	0.9276	0.981	0.8824	0.97
_ENSG00000235912	0.147844162080348	0.31	0.1822	0.2504	0.17	0.332	0.4068	0.1066	0.1926
SCMH1	0.547265809283586	0.6438	0.681	0.589	0.6356	0.975	0.9888	0.9702	0.9878
NCDN	0.0374933415674056	0.1336	0.1532	0.105	0.1372	0.3254	0.5684	0.1856	0.481
KPNA6	0.268873080501663	0.1242	0.1788	0.1244	0.2068	0.2478	0.2576	0.1004	0.1222
THRAP3	0.0592517248362831	0.1984	0.652	0.2248	0.651	0.103	0.0761	0.0166	0.0223
YBX1	0.550028437966503	0.6592	0.5578	0.669	0.5844	0.7452	0.6098	0.347	0.2948
NFYC	0.175427566905814	0.5946	0.6896	0.617	0.6952	0.6494	0.8236	0.4474	0.7294
EIF2B3	0.175800530723696	0.0427	0.0515	0.0262	0.0341	0.1552	0.0739	0.0224	0.0132
SMAP2	0.808600848459983	0.2398	0.1908	0.1842	0.1624	0.2566	0.1922	0.0752	0.1216
PPIE	0.852362769348661	0.5686	0.5506	0.6046	0.5696	0.4628	0.4952	0.4548	0.5064
POMGNT1	0.963443837652885	0.535	0.5638	0.568	0.5968	0.5586	0.5476	0.5356	0.5222
MAST2	0.619921118343856	0.843	0.8838	0.8344	0.8586	0.1264	0.0767	0.1148	0.072
S100PBP	0.428549290572484	0.2528	0.2112	0.2716	0.2288	0.7206	0.6566	0.476	0.4892
SFPQ	0.497846490767539	0.8494	0.9934	0.8074	0.9914	0.6122	0.5336	0.1836	0.2288
MAP7D1	0.351435303388911	0.3886	0.37	0.2982	0.2868	0.944	0.8672	0.9062	0.8312
HPCAL4	0.002684556176696	0.1304	0.1066	0.0559	0.0617	0.0767	0.0709	0.0276	0.0262
RLF	0.0745717894111771	0.0331	0.0376	0.0239	0.0286	9e-04	6e-04	0.0018	0.0019
RIMS3	0.182677886251483	0.0821	0.0637	0.0657	0.0559	0.4808	0.6762	0.3952	0.5842
ATP6V0B	0.195816784798654	0.5098	0.4586	0.5402	0.4668	0.518	0.4554	0.4794	0.4112
ERI3	0.584860115481125	0.6832	0.7556	0.6718	0.7468	0.9206	0.9096	0.8926	0.8898
PTCH2	0.117657782942566	0.0059	0.0037	0.0096	0.0058	0.0245	0.0862	0.0104	0.0626
PRDX1	0.746542729982328	0.1326	0.0656	0.1124	0.0707	0.7136	0.6966	0.5692	0.5666
ADGRB2	0.778116425459885	0.3354	0.4834	0.172	0.3412	0.7852	0.88	0.629	0.811
ZCCHC17	0.661148838802808	0.879	0.7748	0.853	0.715	0.652	0.948	0.602	0.9432
FABP3	0.218756340936538	0.6786	0.5194	0.6902	0.5346	0.2522	0.4184	0.273	0.4342
KHDRBS1	0.176650134127751	0.2416	0.2208	0.2298	0.1912	0.0925	0.0882	0.0087	0.026
CSMD2	0.108735388800456	0.213	0.159	0.2022	0.1292	0.8574	0.8936	0.849	0.882
HPCA	0.483686184534023	0.3928	0.35	0.4106	0.3762	0.4478	0.4724	0.3756	0.395
PSMB2	0.357565264118092	0.4994	0.3198	0.494	0.3222	0.7164	0.7126	0.651	0.6582
AGO3	0.302111643200258	0.0873	0.0784	0.0861	0.0644	0.0294	0.0232	0.0379	0.0297
ST3GAL3	0.359998236425194	0.0853	0.0691	0.0931	0.0744	0.1278	0.0964	0.0812	0.0592
HIVEP3	0.531246431422983	0.1754	0.0904	0.0588	0.0249	0.9708	0.9484	0.964	0.946
MACF1	0.86136796560613	0.5902	0.5888	0.6024	0.5954	0.1122	0.215	0.1148	0.2038
PPT1	0.1877695002658	0.1416	0.127	0.083	0.072	0.7542	0.7588	0.7554	0.7588
LRRC41	0.705913440785469	0.5338	0.6218	0.4968	0.6166	0.0451	0.0396	0.0694	0.0568
NASP	0.719474944937737	0.559	0.8458	0.5436	0.8404	0.0906	0.0699	0.0672	0.0577
PUM1	0.0378197784063002	0.1156	0.158	0.1282	0.1804	0.0433	0.0354	0.0113	0.017
YARS1	0.520997656554005	0.6694	0.4602	0.6438	0.4656	0.2868	0.3134	0.1388	0.1642
PHC2	0.848047950758622	0.466	0.5468	0.4528	0.5134	0.372	0.722	0.361	0.7142
AGO4	0.186361910284365	0.7396	0.6428	0.7418	0.5826	0.2086	0.2498	0.0525	0.0733
KIAA0319L	0.217255178631698	0.114	0.1262	0.0925	0.1114	0.1354	0.136	0.058	0.058
RPS8	0.212791728774164	0.876	0.79	0.8338	0.749	0.672	0.652	0.5554	0.5596
ZMYM4	0.269800700615821	0.5382	0.5088	0.537	0.5086	0.6556	0.9048	0.5242	0.8532
RHBDL2	0.344620862798682	0.7398	0.9072	0.6392	0.856	0.1072	0.0971	0.0146	0.0148
