gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.312760848374248	0.2356	0.3324	0.1574	0.2658	0.9544	0.6454	0.8908	0.5444
PER3	0.712526931972083	0.9294	0.925	0.9876	0.8254	0.564	0.4128	0.5686	0.4432
KIF1B	0.175053361851951	0.2254	0.2896	0.176	0.216	0.3352	0.527	0.1838	0.5328
PRKCZ	0.043465520323449	0.0716	0.1118	0.0243	0.063	0.4624	0.5374	0.231	0.35
KCNAB2	0.336081353689663	0.4688	0.3948	0.4564	0.3652	0.0965	0.1208	0.0693	0.0778
ENO1	0.751568448297773	0.8442	0.8216	0.7584	0.7412	0.7288	0.8822	0.6572	0.8102
GNB1	0.554457904306372	0.746	0.9382	0.7102	0.9476	0.3992	0.0412	0.385	0.0539
ACOT7	0.962767222382052	0.8848	0.7994	0.8576	0.7954	0.2144	0.4172	0.2592	0.4982
CHD5	0.353717687034045	0.6572	0.5916	0.6154	0.567	0.6724	0.566	0.3656	0.3326
PARK7	0.463275204012778	0.4432	0.5252	0.3098	0.3752	0.7516	0.7124	0.8198	0.754
PRDM2	0.566333293625387	0.4848	0.4998	0.303	0.2892	0.5832	0.894	0.6458	0.931
UBE4B	0.209044189153585	0.4112	0.4318	0.3612	0.4196	0.9546	0.7224	0.9974	0.63
ACAP3	0.800855007176305	0.959	0.797	0.8774	0.767	0.7718	0.6148	0.565	0.4214
FBXO44	0.500049807635552	0.7124	0.5578	0.8636	0.7154	0.2378	0.3142	0.2048	0.3096
RERE	0.114961860744027	0.2144	0.3424	0.2422	0.398	0.0912	0.3266	0.0726	0.2688
PEX14	0.288705139629592	0.2268	0.2928	0.1804	0.2396	0.5848	0.2946	0.5514	0.2976
CLSTN1	0.314135198010032	0.2374	0.2266	0.2364	0.253	0.5736	0.7914	0.53	0.7972
CAMTA1	0.34301425606356	0.552	0.3838	0.5598	0.4024	0.8328	0.6806	0.8704	0.5248
EXOSC10	0.672348451394809	0.6568	0.5736	0.6826	0.5468	0.4208	0.3274	0.4744	0.4146
KAZN	0.515201720846842	0.7036	0.7868	0.7662	0.8864	0.443	0.5708	0.47	0.6056
MTOR	0.56144167382447	0.4532	0.7328	0.33	0.6304	0.7774	0.6702	0.7246	0.6274
